acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_ptp,acc_x_rms,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_ptp,acc_y_rms,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_ptp,acc_z_rms,has_gyro,gyr_x_mean,gyr_x_std,gyr_x_min,gyr_x_max,gyr_x_ptp,gyr_x_rms,gyr_y_mean,gyr_y_std,gyr_y_min,gyr_y_max,gyr_y_ptp,gyr_y_rms,gyr_z_mean,gyr_z_std,gyr_z_min,gyr_z_max,gyr_z_ptp,gyr_z_rms,n_readings,sample_id,event,type,depth,condition,speed,vehicle,placement
0.2911484375,0.6891959433127915,-2.04,2.2359999999999998,4.276,0.7481700748743563,0.34652343750000003,0.7439563785603854,-2.9419999999999997,1.6480000000000001,4.59,0.8207006676843269,10.589710937500001,1.330496377956502,5.531000000000001,13.494000000000002,7.963000000000001,10.67296577112297,0,,,,,,,,,,,,,,,,,,,128,041bd5b5-7501-4dec-83a2-04385a86af4b,743b3b39-88d9-489b-935c-2a9e7b9133ca,Speed_bump,,bad,18.871875,Chevrolet Cruze 2010,Dashboard
-8.104761467889906,0.7476137316330445,-10.434000000000001,-5.06,5.374000000000001,8.139169782177987,2.3586788990825682,0.7124427404094246,-0.078,4.433,4.511,2.4639279225130446,5.702926605504588,0.7818170755153512,2.275,8.787,6.5120000000000005,5.756267002783961,0,,,,,,,,,,,,,,,,,,,109,0480a830-27e0-4022-a807-2e969ef04378,56ff9c4a-c249-4e45-b5fb-20593be8e162,Metal_bumps,,good,0.0,Chevrolet Spark 2013,Copilot
0.3492700729927007,0.48741844166953385,-1.3730000000000002,2.197,3.5700000000000003,0.599638492066581,-0.2046861313868613,0.8140764213110885,-2.511,2.001,4.5120000000000005,0.8394145770218601,11.002343065693431,2.178847339540166,4.236000000000001,17.377,13.140999999999998,11.216012155139346,0,,,,,,,,,,,,,,,,,,,137,04a36d29-5b4a-4597-917f-21f4a1a263c8,c212543d-8b43-4d9c-8c7f-3b50435227f0,Speed_bump,,good,16.318248175182482,Chevrolet Cruze 2010,Dashboard
5.934255033557046,0.8633306050497705,1.6869999999999998,8.316,6.629000000000001,5.996725984811441,-0.0976979865771812,0.5615467338443418,-2.432,1.765,4.197,0.5699821320642282,8.363140939597317,0.8753412298793162,5.2170000000000005,10.866,5.648999999999999,8.408825640022233,0,,,,,,,,,,,,,,,,,,,149,04c62b9d-bbd5-44e0-af27-d69e1d93e698,5d0e8e08-49af-47c4-b5db-bef4c93776c9,Speed_bump,,good,10.455704697986578,Kia RIO 2018,Left door
0.010046511627906976,1.173485326619024,-7.492000000000001,1.844,9.336,1.1735283312242815,-7.843941860465116,0.9147616712698696,-12.630999999999998,-4.746,7.884999999999998,7.897101545857276,6.57096511627907,1.1857067507537964,2.04,14.122,12.082,6.677086419849569,0,,,,,,,,,,,,,,,,,,,86,04eee27e-bb29-45ac-8c5a-1d6c6af93dde,42dd29da-69c2-4a10-86a8-a40a9c569324,Metal_bumps,,bad,13.5,Kia RIO 2018,Console seats
6.42723178807947,0.8023888790117317,3.53,9.728,6.198,6.477124081786679,-0.07947019867549669,0.39959205701038203,-1.3730000000000002,1.765,3.138,0.40741787455057893,7.839086092715232,1.2033364485803977,3.923,11.415,7.491999999999999,7.930907222851838,0,,,,,,,,,,,,,,,,,,,151,04f7973f-c529-4a95-8892-95c661ec07c9,4848efd1-16c6-4051-bb0f-e24220fd6cf4,Pothole,6.5,,13.751999999999999,VW Derby 2001,Left door
6.667165217391304,0.9948460219982901,3.452,10.866,7.414,6.740979946823626,-0.28756521739130436,0.6830708681857858,-1.569,1.844,3.4130000000000003,0.7411339725160299,7.561504347826086,1.1923938390365831,4.158,12.120999999999999,7.962999999999998,7.654942917459622,0,,,,,,,,,,,,,,,,,,,115,05213cbf-9264-4513-a569-556d7154ee95,42faef55-8979-4402-b2d8-971968743298,Pothole,6.0,,12.6,VW Derby 2001,Left door
0.10041379310344828,0.5416497797910392,-0.706,2.432,3.138,0.5508787650591583,-8.177077586206897,0.7847076124798514,-10.317,-6.394,3.923,8.214643259931075,5.659077586206896,1.1317347239347615,2.9810000000000003,7.375,4.394,5.771133563873649,0,,,,,,,,,,,,,,,,,,,116,055f5847-e661-45ec-802b-0a17ef01723d,d44ea04b-18ab-4ad4-ba58-8f23e38f301f,Pothole,4.0,,4.859999999999999,Kia RIO 2018,Console seats
6.2520235294117645,0.791099279505804,3.594,10.777000000000001,7.183000000000002,6.301875616223549,0.18380784313725487,0.4291119401664176,-1.374,2.105,3.479,0.46682157232946814,7.259203921568627,0.869889480012031,4.405,9.8,5.3950000000000005,7.311138713111175,1,0.008101960784313727,0.027060813794380773,-0.07200000000000001,0.068,0.14,0.02824764435779922,-0.004662745098039216,0.05922330609330503,-0.22,0.138,0.358,0.059406575195600934,0.009733333333333333,0.030168277500053953,-0.064,0.109,0.173,0.03169957010904153,255,0566ffd4-9d0d-430e-b5e5-07d30b45bb79,1a8a5991-1b47-44fd-a0e3-6ca151853b9c,Manhole_cover,,good,7.633552941176471,Chevrolet Express van 2013,Right door
1.0847125748502993,0.9001026029458514,-1.422,4.475,5.896999999999999,1.4095339889013898,7.053203592814373,1.2101393324981005,1.3980000000000001,10.517999999999999,9.12,7.156264257680016,6.618568862275449,1.4518875077217057,-1.228,11.449000000000002,12.677000000000001,6.775945035178523,1,-0.0035149700598802393,0.04436131673658813,-0.133,0.188,0.321,0.04450035322473012,0.00334131736526946,0.06812816140706912,-0.48,0.24600000000000002,0.726,0.06821004895499719,0.008311377245508985,0.0602270061165908,-0.293,0.436,0.729,0.060797789906254236,167,058b0104-2887-462c-a57f-aa564eaea444,265f3aef-1c97-4a52-8352-20709c3afd1e,Pothole,6.5,,0.0,Peugeot Partner 2013,Right door
-5.871847953216374,1.0017807187507266,-8.904,-1.216,7.688,5.956690607556518,2.998877192982456,1.0154201170738162,0.353,4.354,4.001,3.1661241973031538,7.622573099415203,0.9186359511462345,5.138999999999999,10.748,5.609,7.677728353273945,0,,,,,,,,,,,,,,,,,,,171,0592888a-5b53-4bb5-ba96-453a3d4a61a2,836e0ed8-d4e5-4d70-9655-ce0cef1c3be3,Pothole,5.0,,19.8,Honda Accord 2007,Copilot trousers
3.0547581395348833,0.9991637373632286,1.4909999999999999,5.178,3.6870000000000003,3.214012362315409,-0.027925581395348828,0.680247440648168,-1.844,1.883,3.7270000000000003,0.6808204011372244,9.655776744186044,0.5750773832002694,8.041,11.219000000000001,3.178000000000001,9.672886773359469,0,,,,,,,,,,,,,,,,,,,215,059edc6d-1132-4707-b478-0e86aa6e7255,3efa4be1-3dd2-4550-a1c0-a9d3dff5ef5c,Pothole,12.0,,4.508372093023256,Kia RIO 2018,Console
